Libelle du departement,Inscrits,Abstentions,Votants,Exprimes,Blancs,Nuls,Tendance,Annee,Evolution_Tx_Chomage,Vols de vehicules_Tauxpourmille,Vols d'accessoires sur vehicules_Tauxpourmille,Coups et blessures volontaires intrafamiliaux_Tauxpourmille,Vols avec armes_Tauxpourmille,Violences sexuelles_Tauxpourmille,Destructions et degradations volontaires_Tauxpourmille,Vols dans les vehicules_Tauxpourmille,Coups et blessures volontaires_Tauxpourmille,Vols sans violence contre des personnes,Cambriolages de logement,Vols violents sans arme,Autres coups et blessures volontaires_Tauxpourmille,proba_extreme droite,proba_centre,proba_droite,proba_extreme gauche,prediction
Tarn,291194,50507,240687,233757,4296,2634,droite,2017,-0.5499999999999989,-0.15779027499999998,0.06663484799999997,0.011851261999999974,0.010090947000000003,0.168746842,-0.03688216999999838,0.204935533,0.08733610300000016,-0.39066168,0.4128144819999999,-0.07136778399999999,0.07548484099999997,0.019150446873005218,0.0014770363878139642,0.9770096936347106,0.0023628231044702432,droite
Somme,410056,102687,307369,298918,4837,3614,extreme droite,2022,-2.525000000000002,-0.5060393530000002,-0.18275044699999987,1.4725099080000001,-0.032907349,0.604102197,-1.6800777819999997,-0.6611370939999999,1.9480146550000002,-0.026100651999999336,-1.9501145370000001,-0.08026482099999999,0.4755047480000001,0.9824371773585389,0.017548997021545835,1.0140442606517763E-10,1.3825518510959294E-5,extreme droite
Somme,409014,80489,328525,319636,6124,2765,extreme droite,2017,-0.3999999999999986,-0.028516647000000006,0.22958554199999992,0.06726992499999995,-0.010435489999999992,0.10338009000000004,-0.2786981199999996,0.19012755100000023,0.10150208800000016,0.18893626199999947,0.5776862530000004,-0.03633142,0.034232164000000065,0.9449724829395528,0.0012576991633897233,0.04647660678823651,0.007293211108820925,extreme droite
Deux-Sèvres,273214,59403,213811,207804,3839,2168,centre,2022,-1.9249999999999998,-0.18208725999999986,0.026308580999999887,1.166605278,0.029360077000000005,0.7207641739999999,-1.4207833989999994,-0.0781091169999999,1.6922707099999998,-0.7950376220000006,-2.40956175,0.05332749899999997,0.525665432,0.08757868202386741,0.9124094288654199,3.722463686597035E-10,1.1888738466282502E-5,centre
Deux-Sèvres,272404,50961,221443,214398,4631,2414,centre,2017,-0.14999999999999947,0.19097769100000006,0.190653552,0.05707229700000005,-0.007963572000000002,0.11811796500000005,0.2006319449999996,0.15945592599999991,0.08228192400000012,0.3580870850000002,2.223775377,0.010914291999999992,0.025209626999999957,3.1702123481103668E-6,0.9501074490929002,0.044429102142740456,0.005460278552011423,centre
Yvelines,961245,211708,749537,736506,9601,3430,centre,2022,-0.625,-0.7325089419999999,-0.362502337,1.2766673240000002,-0.030463069999999995,0.55858575,-1.6894805870000011,-0.746442445,1.672240049,0.2445253859999994,0.13710581199999972,-0.3719715659999999,0.39557272500000007,0.004075804013101746,0.9956945697181798,7.547058647665429E-5,1.541556822416929E-4,centre
Yvelines,951148,177485,773663,758926,10841,3896,droite,2017,0.1750000000000007,-0.24235157800000007,-0.3251630539999999,0.04661870499999998,0.0016373989999999977,0.028985861999999973,-0.46852193599999836,-0.27446847499999993,0.07852450700000002,-0.4861475999999998,-0.7046939219999997,0.009537205999999965,0.03190580200000004,5.642197737837543E-4,0.0264687279920702,0.97214867305624,8.18379177906221E-4,droite
Seine-et-Marne,899303,223172,676131,660929,11057,4145,extreme droite,2022,-0.7749999999999995,-0.571362723,0.18371233100000017,0.8988720209999999,-0.07791844800000002,0.4114920109999999,-1.600126962000001,-1.7063263920000002,1.4055910579999997,-0.08062164000000038,-2.8297584539999994,-0.526996348,0.506719038,0.9675149737938449,0.015934254529605063,0.009433480902042948,0.007117290774507058,extreme droite
Seine-et-Marne,881558,183302,698256,680893,13074,4289,droite,2017,-8.881784197001252E-16,-0.375708425,-0.0209247669999999,0.10353395899999995,-0.02154268399999998,0.09648615900000002,-0.5499126579999984,0.21411510200000006,0.23746094899999992,0.24355670300000032,0.3926956429999997,-0.13195109700000018,0.13392698999999997,0.01754601357980511,0.02350859944365809,0.9535370284308826,0.0054083585456541185,droite
Seine-Maritime,879252,222147,657105,642965,10982,3158,extreme droite,2022,-2.7750000000000012,-0.273948273,-0.263479064,1.398284633,0.03424209299999999,0.72187398,-1.2731993940000006,-0.6589442239999999,2.083139105,0.32788757299999993,-1.542450102,-0.0042690749999999555,0.6848544730000001,0.9659338302915467,0.034063892264583506,3.2662842267239366E-11,2.277411206971739E-6,extreme droite
