Libelle du departement,Inscrits,Abstentions,Votants,Exprimes,Blancs,Nuls,Tendance,Total_Pourcentage_Voix_Exp,Annee,Evolution_Tx_Chomage,Vols de vehicules_Tauxpourmille,Vols d'accessoires sur vehicules_Tauxpourmille,Coups et blessures volontaires intrafamiliaux_Tauxpourmille,Vols avec armes_Tauxpourmille,Violences sexuelles_Tauxpourmille,Destructions et degradations volontaires_Tauxpourmille,Vols dans les vehicules_Tauxpourmille,Coups et blessures volontaires_Tauxpourmille,Vols sans violence contre des personnes,Cambriolages de logement,Vols violents sans arme,Autres coups et blessures volontaires_Tauxpourmille,prediction
Ardèche,255859,54114,201745,196975,3311,1459,gauche,2.13,2022,-2.0,-0.40571229799999986,0.0011654299999999118,0.6777691450000001,0.014677326999999997,0.598877038,-0.5147185969999999,-0.8703562119999999,1.3227479779999998,-0.3666199109999999,-1.2587425049999998,-0.014537542999999986,0.6449788349999999,6.1022303488237455
Ardennes,186197,49368,136829,133936,1909,984,centre,26.21,2022,-1.674999999999999,0.23965519599999996,-0.09173023200000008,1.769322597,-0.007047710000000002,0.572942487,-0.14132378500000087,0.022547571999999905,2.4832523340000003,-0.8521666539999995,0.6984280389999995,-0.16017651700000002,0.713929737,22.69379829188341
Ardennes,186197,49368,136829,133936,1909,984,droite,9.41,2022,-1.674999999999999,0.23965519599999996,-0.09173023200000008,1.769322597,-0.007047710000000002,0.572942487,-0.14132378500000087,0.022547571999999905,2.4832523340000003,-0.8521666539999995,0.6984280389999995,-0.16017651700000002,0.713929737,26.72774808090035
Ardennes,186197,49368,136829,133936,1909,984,extreme droite,42.57,2022,-1.674999999999999,0.23965519599999996,-0.09173023200000008,1.769322597,-0.007047710000000002,0.572942487,-0.14132378500000087,0.022547571999999905,2.4832523340000003,-0.8521666539999995,0.6984280389999995,-0.16017651700000002,0.713929737,22.279009804505854
Ardennes,186197,49368,136829,133936,1909,984,extreme gauche,20.529999999999998,2022,-1.674999999999999,0.23965519599999996,-0.09173023200000008,1.769322597,-0.007047710000000002,0.572942487,-0.14132378500000087,0.022547571999999905,2.4832523340000003,-0.8521666539999995,0.6984280389999995,-0.16017651700000002,0.713929737,21.771047073268708
Ardennes,186197,49368,136829,133936,1909,984,gauche,1.3,2022,-1.674999999999999,0.23965519599999996,-0.09173023200000008,1.769322597,-0.007047710000000002,0.572942487,-0.14132378500000087,0.022547571999999905,2.4832523340000003,-0.8521666539999995,0.6984280389999995,-0.16017651700000002,0.713929737,5.080118703954797
Ariège,119039,25028,94011,91704,1532,775,centre,23.0,2022,-2.1249999999999982,-0.376457265,-0.26457389200000003,1.115593065,0.025913843000000002,0.7893530799999999,0.32005753400000003,0.29039956200000017,1.7354259410000004,0.06726491800000023,-1.7600835199999998,-0.079066423,0.6198328759999998,19.847044062577467
Ariège,119039,25028,94011,91704,1532,775,droite,12.950000000000001,2022,-2.1249999999999982,-0.376457265,-0.26457389200000003,1.115593065,0.025913843000000002,0.7893530799999999,0.32005753400000003,0.29039956200000017,1.7354259410000004,0.06726491800000023,-1.7600835199999998,-0.079066423,0.6198328759999998,25.01333561866908
Ariège,119039,25028,94011,91704,1532,775,extreme droite,30.29,2022,-2.1249999999999982,-0.376457265,-0.26457389200000003,1.115593065,0.025913843000000002,0.7893530799999999,0.32005753400000003,0.29039956200000017,1.7354259410000004,0.06726491800000023,-1.7600835199999998,-0.079066423,0.6198328759999998,29.90364227301927
Ariège,119039,25028,94011,91704,1532,775,extreme gauche,30.259999999999998,2022,-2.1249999999999982,-0.376457265,-0.26457389200000003,1.115593065,0.025913843000000002,0.7893530799999999,0.32005753400000003,0.29039956200000017,1.7354259410000004,0.06726491800000023,-1.7600835199999998,-0.079066423,0.6198328759999998,20.928873275241564
